Product Name,Set Name,Sell Price
Morphling,Urza's Saga,9.50
Birds of Paradise,Limited Edition Beta,689.99
Collective Defiance,Eldritch Moon,0.85
Psychic Venom,Limited Edition Alpha,20.00
Black Lotus,Unlimited Edition,6300.00
Contract from Below,Limited Edition Beta,59.46
Copper Tablet,Limited Edition Alpha,72.48
Blightning,Shards of Alara,0.68
Swamp,Mirage,1.08
Spell Blast,Limited Edition Alpha,15.00
Sleight of Mind,Limited Edition Alpha,113.09
Island of Wak-Wak,Arabian Nights,138.73
Karakas,Legends,62.12
Blessing,Limited Edition Beta,26.92
Ironroot Treefolk,Limited Edition Alpha,3.29
Copper Tablet,Limited Edition Beta,59.99
Black Ward,Limited Edition Beta,1.99
Orcish Artillery,Limited Edition Beta,30.38
Helm of Chatzuk,Limited Edition Alpha,136.41
Castle,Limited Edition Alpha,10.32
Circle of Protection: Green,Limited Edition Alpha,7.16
Circle of Protection: Red,Limited Edition Alpha,17.99
Healing Salve,Limited Edition Alpha,5.51
Resurrection,Limited Edition Alpha,13.34
Psionic Blast,Limited Edition Alpha,180.92
Red Elemental Blast,Limited Edition Alpha,34.00
Animate Wall,Limited Edition Alpha,109.95
Savannah,Unlimited Edition,184.21
Weathered Wayfarer,Onslaught,12.54
Mahamoti Djinn,Limited Edition Beta,134.49
Animate Wall,Limited Edition Beta,32.89
Orcish Artillery,Limited Edition Alpha,40.00
Karma,Limited Edition Beta,5.67
Invisibility,Limited Edition Alpha,7.12
Power Leak,Limited Edition Beta,0.81
Psychic Venom,Limited Edition Beta,0.99
Invisibility,Limited Edition Beta,1.20
Spirit Link,Legends,11.99
Ichorclaw Myr,Scars of Mirrodin,1.08
Noxious Revival,New Phyrexia,4.04
Hinterland Harbor,Innistrad,5.45
Cathars' Crusade,Avacyn Restored,2.68
Tundra,Limited Edition Beta,2500.65
Mark of Asylum,Conflux,1.68
"Edric, Spymaster of Trest",Magic: The Gathering-Commander,1.23
Reconnaissance,Exodus,3.14
Oath of Lieges,Exodus,2.04
Limited Resources,Exodus,0.72
Ancestral Recall (CE),Collector's Edition,499.99
Lord of Atlantis,Limited Edition Alpha,436.99
All in Good Time,Archenemy,10.10
Blood Tribute,Zendikar,0.74
Nightscape Master,Invasion,0.44
Lightning Bolt,Limited Edition Beta,103.88
Lightning Bolt,Unlimited Edition,7.56
Dance of Many,The Dark,1.13
Nicol Bolas,"Time Spiral ""Timeshifted""",3.32
Skullclamp,Darksteel,1.89
Chaos Orb,Unlimited Edition,480.04
City of Brass,Fifth Edition,5.49
Mind Twist,Revised Edition,3.26
Ivory Tower,Antiquities,5.88
Guardian Angel,Limited Edition Beta,1.41
Collective Voyage,Magic: The Gathering-Commander,2.60
Jedit Ojanen,Legends,0.99
Spitemare,Duel Decks: Ajani vs. Nicol Bolas,1.06
Reforge the Soul,Avacyn Restored,2.98
